id,transaction,android_id,slip_number,order_type,payment_method,items_json,total,status,source,table_number,customer_name,is_unpaid,order_mode,created_at,updated_at
193,"{""id"": 172, ""order_detail"": {""id"": 193, ""slip_number"": ""6049639"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}, {""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 2}, {""productId"": 1, ""name"": ""Coke - 1 Glass"", ""price"": 30, ""quantity"": 4}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""826.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 193}",,6049639,,,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}, {""productId"": 8, ""name"": ""Liempo - Unli"", ""price"": 199, ""quantity"": 2}, {""productId"": 1, ""name"": ""Coke - 1 Glass"", ""price"": 30, ""quantity"": 4}]",826.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.649689+08:00,2026-06-04T03:46:29.649689+08:00
194,"{""id"": 173, ""order_detail"": {""id"": 194, ""slip_number"": ""6049640"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""169.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 194}",,6049640,,,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1}]",169.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.625725+08:00,2026-06-04T03:46:29.625725+08:00
195,"{""id"": 174, ""order_detail"": {""id"": 195, ""slip_number"": ""6049641"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}, {""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 195}",,6049641,,,"[{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}, {""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 1}]",318.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.611784+08:00,2026-06-04T03:46:29.613370+08:00
196,"{""id"": 175, ""order_detail"": {""id"": 196, ""slip_number"": ""6049642"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Only"", ""price"": 159, ""quantity"": 2}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""318.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 196}",,6049642,,,"[{""productId"": 7, ""name"": ""Pechopak - Only"", ""price"": 159, ""quantity"": 2}]",318.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.586664+08:00,2026-06-04T03:46:29.586664+08:00
197,"{""id"": 176, ""order_detail"": {""id"": 197, ""slip_number"": ""6049643"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1}, {""productId"": 1, ""name"": ""Coke - 1 Glass"", ""price"": 30, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""169.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 197}",,6049643,,,"[{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1}, {""productId"": 1, ""name"": ""Coke - 1 Glass"", ""price"": 30, ""quantity"": 1}]",169.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.572347+08:00,2026-06-04T03:46:29.572347+08:00
198,"{""id"": 177, ""order_detail"": {""id"": 198, ""slip_number"": ""6049644"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""159.00"", ""completed_at"": ""2026-04-29T12:00:00+08:00"", ""order"": 198}",,6049644,,,"[{""productId"": 10, ""name"": ""Leg - Unli"", ""price"": 159, ""quantity"": 1}]",159.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.559819+08:00,2026-06-04T03:46:29.559819+08:00
199,"{""id"": 178, ""order_detail"": {""id"": 199, ""slip_number"": ""6049645"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 4}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 3}, {""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1}, {""productId"": 0, ""name"": ""Delivery Fee 1"", ""price"": 0, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""1391.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 199}",,6049645,,,"[{""productId"": 7, ""name"": ""Pechopak - Meal"", ""price"": 169, ""quantity"": 4}, {""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 3}, {""productId"": 11, ""name"": ""Wings - Meal"", ""price"": 129, ""quantity"": 1}, {""productId"": 9, ""name"": ""BBQ - Meal"", ""price"": 139, ""quantity"": 1}, {""productId"": 0, ""name"": ""Delivery Fee 1"", ""price"": 0, ""quantity"": 1}]",1391.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.546532+08:00,2026-06-04T03:46:29.546532+08:00
200,"{""id"": 179, ""order_detail"": {""id"": 200, ""slip_number"": ""6049646"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - One Piece Only"", ""price"": 69, ""quantity"": 3}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""207.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 200}",,6049646,,,"[{""productId"": 11, ""name"": ""Wings - One Piece Only"", ""price"": 69, ""quantity"": 3}]",207.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.523065+08:00,2026-06-04T03:46:29.523065+08:00
201,"{""id"": 180, ""order_detail"": {""id"": 201, ""slip_number"": ""6049647"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 9, ""name"": ""BBQ - Only"", ""price"": 129, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""129.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 201}",,6049647,,,"[{""productId"": 9, ""name"": ""BBQ - Only"", ""price"": 129, ""quantity"": 1}]",129.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.519970+08:00,2026-06-04T03:46:29.519970+08:00
202,"{""id"": 181, ""order_detail"": {""id"": 202, ""slip_number"": ""6049648"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""149.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 202}",,6049648,,,"[{""productId"": 10, ""name"": ""Leg - Meal"", ""price"": 149, ""quantity"": 1}]",149.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.496840+08:00,2026-06-04T03:46:29.496840+08:00
203,"{""id"": 182, ""order_detail"": {""id"": 203, ""slip_number"": ""6049649"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""179.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 203}",,6049649,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 1}]",179.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.493804+08:00,2026-06-04T03:46:29.493804+08:00
204,"{""id"": 183, ""order_detail"": {""id"": 204, ""slip_number"": ""6049650"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""358.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 204}",,6049650,,,"[{""productId"": 7, ""name"": ""Pechopak - Unli"", ""price"": 179, ""quantity"": 2}]",358.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.469541+08:00,2026-06-04T03:46:29.469541+08:00
205,"{""id"": 184, ""order_detail"": {""id"": 205, ""slip_number"": ""6049651"", ""order_type"": """", ""payment_method"": """", ""table_number"": """", ""items_json"": [{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1}], ""order_mode"": ""REGULAR""}, ""android_id"": null, ""total"": ""139.00"", ""completed_at"": ""2026-04-30T12:00:00+08:00"", ""order"": 205}",,6049651,,,"[{""productId"": 11, ""name"": ""Wings - Unli"", ""price"": 139, ""quantity"": 1}]",139.00,COMPLETED,walk-in,,,False,REGULAR,2026-06-04T03:46:29.457102+08:00,2026-06-04T03:46:29.457102+08:00
